location,zone,order
SS,Zone1 - Pilot Plant ชั้น 5 / Office / Meeting Room / ห้องน้ำ / ห้องครัว /ห้อง Lab,1
SS,Zone1 - Pilot Plant ชั้น 4 / Office / Meeting Room / ห้องน้ำ / ห้องครัว,2
SS,Zone1 - Pilot Plant ชั้น 3  / ห้องน้ำ  / ห้อง Lab / ห้องเก็บอุปกรณ์ / ไลน์,3
SS,Zone1 - Pilot Plant ชั้น 2 /  Meeting Room / ห้องน้ำ / ห้องครัว,4
SS,Zone1 - Pilot Plant ชั้น 1  / ห้องน้ำ  / ห้อง Lab / ห้องเก็บอุปกรณ์ / ไลน์,5
SS,Zone2 - ITC 2.1  Office ชั้น2 / Office / Meeting Room / ห้องน้ำ / ห้องครัว / ห้องLab,6
SS,Zone3 - ITC 2.1 พื้นที่ส่วนกลาง ชั้น2 / ทางเดิน / ห้องน้ำ / ห้องผ้า / ห้องฝากของ / ห้องโอ๊บเอี้ยม / Office HR / ห้องพักผ่อนพนักงาน ชายและหญิง / โรงอาหาร,7
SS,Zone4 - ITC 2.1  พื้นที่การผลิต ชั้น2 / ห้องชั่งสาร / สโตร์ / ห้อง Ink / ห้องปล่อยกระป๋อง / ช๊อปช่างด้านหลัง,8
SS,Zone5 - ITC 2.1  พื้นที่การผลิต ชั้น1 / ทางเข้าไลน์ผลิตกลางไลน์ / คลุกผสม / บรรจุ / ขูดหนังขูดเลือด / เตรียมวัตถุดิบ Topping / ปลาสด / Retort / เช็คกระป๋อง / ทางเดินลูกค้า,9
SS,Zone6 - ITC 2.2  พื้นที่การผลิต ชั้น1 / เตรียมวัตถุดิบ + คลุกผสม / บรรจุ / Retort / เช็คกระป๋อง,10
SS,Zone7 - ITC 2.2  พื้นที่ส่วนกลาง ชั้น1.5 / ห้องควมคุมไฟฟ้า / ทางเดินเข้าไลน์ผลิต / ห้องน้ำพนักงาน / ทางเดินลูกค้า / ห้องน้ำลูกค้า / Meeting Room / Office Fa,11
SS,Zone8 - ITC 2.2  พื้นที่การผลิต ชั้น2 / เตรียมวัตถุดิบ + คลุกผสม / บรรจุ / Retort / เช็คกระป๋อง,12
SS,Zone9 - ITC 2.2  พื้นที่ส่วนกลาง ชั้น2.5 / ห้องควมคุมไฟฟ้า / ทางเดินเข้าไลน์ผลิต / ห้องน้ำพนักงาน / ทางเดินลูกค้า / ห้องน้ำลูกค้า / Meeting Room,13
SS,Zone10 - ITC 2.2  พื้นที่การผลิต ชั้น3 / เตรียมวัตถุดิบ + คลุกผสม / บรรจุ / Retort / เช็คกระป๋อง,14
SS,Zone11 - พื้นที่ปิดฉลาก 40 ไร่ / ไลน์ปิดฉลาก / ลานโหลด / ห้องเย็น C / สโตร์,15
SS,Zone12 - พื้นที่ห้องเย็น  / จุดลงปลา คัดปลา,16
SS,Zone13 - พื้นที่รอบนอก  / ป้อม รปภ 1 /จุดเก็บถังปลา / Boiler /  ห้องขยะ  / ลานจอดรถ / ป้อม รปภ 2,17
