ฝ่าย,แผนก
"Facilities, Security & Admin - SS","Facilities, Security & Admin - SS"
Global Pet Care Innovation - GPCI,Pet Technician
Global Pet Care Innovation - GPCI,Attending Veterinarian
Global Pet Care Innovation - GPCI,Cattery Specialist
Global Pet Care Innovation - GPCI,Engineering
Global Pet Care Innovation - GPCI,Nutrition & Technical Innovation
Pet BU Quality,Audit & Compliance-SS
Pet BU Quality,Food Law & Regulations
Pet BU Quality,Pet BU Quality
Pet BU Quality,Pet Quality
Pet BU Quality,Plant Quality Customer Experience
Pet BU Quality,QMS
Pet BU Quality,Quality Project Improvement & Data Support
Plant Engineering &  Maintenance - SS,Area Maintenance #1 -SS
Plant Engineering &  Maintenance - SS,Area Maintenance #2 -SS
Plant Engineering &  Maintenance - SS,Boiler and Utilities
Plant Engineering &  Maintenance - SS,General Maintenance & Building
Plant Engineering &  Maintenance - SS,Pet Engineering & Maintenance
Plant Engineering &  Maintenance - SS,Plant Engineering &  Maintenance - SS
Plant Engineering &  Maintenance - SS,Refrigeration and Air con
Plant Engineering &  Maintenance - SS,Robotics & Automation
Plant Engineering &  Maintenance - SS,Wastewater Treatment
Plant Engineering &  Maintenance - SS,Electrical
ฝ่ายคลังสินค้า ITC2,ITC 40 Rai/ Suansom
ฝ่ายคลังสินค้า ITC2,Technical Support
ฝ่ายคลังสินค้า ITC2,WH Ops & Logistics – SS
ฝ่ายคลังสินค้า ITC2,จัดส่งสินค้า
ฝ่ายคลังสินค้า ITC2,วิศวกรรมและซ่อมบำรุง WH (สวนส้ม)
ฝ่ายคลังสินค้า ITC2,แผนกบรรจุภัณฑ์
ฝ่ายคลังสินค้า ITC2,แผนกปิดฉลากและบรรจุ
ฝ่ายคุณภาพ ITC2,Plant Quality Assurance-SS
ฝ่ายคุณภาพ ITC2,Quality Control-SS
ฝ่ายคุณภาพ ITC2,ควบคุมคุณภาพ คลุกผสม-เช็ดกระป๋อง ITC Plant 2.2 (QC.ฆ่าเชื้อ-เช็ดกระป๋อง)
ฝ่ายคุณภาพ ITC2,ควบคุมคุณภาพ ปลาสด-เช็ดกระป๋อง ITC2 Plant 2.1 (QC.ปิดผนึก)
ฝ่ายคุณภาพ ITC2,คุณภาพห้องปฏิบัติการเคมี
ฝ่ายคุณภาพ ITC2,สอบเทียบ
ฝ่ายคุณภาพ ITC2,ห้องปฏิบัติการเคมี Proximate - Ingredient
ฝ่ายผลิต ITC2,PD - ผลิต Can & Cup
ฝ่ายผลิต ITC2,PD - ผลิต Pouch & Sachet
ฝ่ายผลิต ITC2,PD - เตรียมการผลิต
